id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,totalOppositionHalfPasses,accurateOppositionHalfPasses,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played,goals_per90,totalShots_per90,onTargetScoringAttempt_per90,totalContest_per90,wonContest_per90,wasFouled_per90,keyPass_per90,goalAssist_per90,bigChanceCreated_per90,totalCross_per90,accurateCross_per90,totalPass_per90,accuratePass_per90,totalOppositionHalfPasses_per90,accurateOppositionHalfPasses_per90,touches_per90,finisher_score,dribbler_score,chance_creator_score,play_organizer_score,finisher_score_elite_90,dribbler_score_elite_90,chance_creator_score_elite_90,play_organizer_score_elite_90,n_elite_roles_90,finisher_score_elite_95,dribbler_score_elite_95,chance_creator_score_elite_95,play_organizer_score_elite_95,n_elite_roles_95,finisher_score_elite_99,dribbler_score_elite_99,chance_creator_score_elite_99,play_organizer_score_elite_99,n_elite_roles_99,finisher_score_elite_85,dribbler_score_elite_85,chance_creator_score_elite_85,play_organizer_score_elite_85,n_elite_roles_85,role_score_range,role_score_std,role_score_avg
1,6.0,41,22.0,16.0,32.0,19.0,30.0,42.0,28.0,3.0,3.0,6.0,29.0,6.0,336.0,239.0,625.0,84.0,130.0,2.0,259.0,172.0,1484.0,Robin van Persie,3,2006,2014,17,0.3638814016172507,2.486522911051213,1.3342318059299192,1.9407008086253368,1.1522911051212938,1.8194070080862537,1.69811320754717,0.1819407008086253,0.1819407008086253,1.758760107816712,0.3638814016172507,20.37735849056604,14.494609164420488,15.707547169811322,10.431266846361186,37.90431266846362,88.35744908896034,67.79876741693462,69.84726688102894,14.839228295819936,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,73.5182207931404,31.62937515061297,60.21067792068596
2,0.0,3,1.0,2.0,21.0,15.0,25.0,16.0,11.0,0.0,1.0,0.0,26.0,3.0,542.0,458.0,942.0,97.0,55.0,0.0,261.0,201.0,1275.0,Ashley Cole,3,2002,2010,14,0.0,0.2117647058823529,0.0705882352941176,1.4823529411764709,1.0588235294117647,1.7647058823529411,0.7764705882352941,0.0,0.0705882352941176,1.835294117647059,0.2117647058823529,38.25882352941176,32.32941176470588,18.423529411764708,14.188235294117648,66.49411764705883,26.098606645230443,62.98901393354769,49.83520900321544,53.45659163987138,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,36.89040728831725,15.678519954323152,48.09485530546624
3,2.0,16,6.0,7.0,22.0,15.0,32.0,26.0,10.0,3.0,2.0,2.0,2.0,0.0,554.0,467.0,785.0,123.0,76.0,0.0,360.0,289.0,942.0,Patrick Vieira,3,1998,2006,12,0.1910828025477706,1.5286624203821657,0.5732484076433121,2.1019108280254777,1.4331210191082802,3.057324840764331,0.9554140127388536,0.286624203821656,0.1910828025477706,0.1910828025477706,0.0,52.92993630573248,44.617834394904456,34.394904458598724,27.611464968152863,75.0,69.78161843515541,78.7379421221865,50.29742765273312,87.516077170418,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,True,1,37.21864951768488,15.930858004718068,71.58326634512325
8,6.0,37,18.0,15.0,41.0,24.0,21.0,23.0,24.0,4.0,5.0,5.0,19.0,6.0,341.0,239.0,586.0,65.0,97.0,0.0,270.0,176.0,989.0,Dennis Bergkamp,2,1994,1998,12,0.5460060667340748,3.3670374115267947,1.6380182002022246,3.731041456016178,2.1840242669362997,1.9110212335692616,2.1840242669362997,0.3640040444893832,0.455005055611729,1.7290192113245704,0.5460060667340748,31.03134479271992,21.74924165824065,24.570273003033368,16.01617795753286,53.32659251769464,94.38638799571277,82.90460878885317,81.06913183279742,43.60128617363343,True,False,False,False,1,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,50.78510182207933,22.061026598834754,75.4903536977492
11,6.0,50,20.0,16.0,59.0,31.0,20.0,39.0,20.0,1.0,5.0,5.0,28.0,4.0,302.0,205.0,629.0,87.0,117.0,2.0,238.0,153.0,1169.0,Thierry Henry,4,1998,2010,17,0.4619332763045338,3.849443969204448,1.5397775876817792,4.542343883661249,2.3866552609067577,1.5397775876817792,1.5397775876817792,0.0769888793840889,0.3849443969204448,2.155688622754491,0.3079555175363558,23.250641573994866,15.78272027373824,18.323353293413174,11.779298545765611,48.42600513259196,94.45337620578778,81.43086816720258,71.21382636655947,23.681672025723472,True,False,False,False,1,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,70.7717041800643,30.844988516936983,67.69493569131832
67,0.0,6,2.0,4.0,1.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,236.0,196.0,356.0,33.0,32.0,0.0,67.0,40.0,673.0,Raymond Kalla,3,1994,2002,8,0.0,0.8023774145616642,0.2674591381872214,0.1337295690936107,0.0,0.4011887072808321,0.0,0.0,0.0,0.1337295690936107,0.0,31.560178306092123,26.210995542347696,8.959881129271917,5.349182763744428,47.60772659732541,42.02840300107181,10.121918542336548,20.860128617363344,21.744372990353696,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.90648445873526,13.318952522308209,23.68870578778135
90,0.0,5,1.0,2.0,4.0,2.0,3.0,8.0,5.0,1.0,0.0,0.0,1.0,1.0,184.0,158.0,244.0,20.0,19.0,0.0,98.0,78.0,368.0,Sebastian Kehl,2,2002,2006,6,0.0,1.2228260869565215,0.2445652173913043,0.9782608695652176,0.4891304347826087,0.7336956521739131,1.2228260869565215,0.2445652173913043,0.0,0.2445652173913043,0.2445652173913043,45.0,38.64130434782609,23.967391304347828,19.076086956521745,59.673913043478265,44.92899249732047,35.76500535905681,50.54260450160772,66.86897106109323,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.103965702036422,13.06789425535542,49.52639335476955
95,0.0,0,0.0,0.0,9.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,171.0,143.0,257.0,35.0,20.0,0.0,69.0,50.0,400.0,Christian Wörns,1,1998,1998,5,0.0,0.0,0.0,2.025,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0,0.6749999999999999,0.2249999999999999,38.475,32.175,15.525,11.25,57.825,17.85235798499464,53.45659163987138,31.229903536977496,43.34807073954984,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,35.60423365487674,15.383187205447932,36.471730975348336
123,0.0,3,0.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,10.0,2.0,65.0,38.0,107.0,18.0,22.0,0.0,46.0,22.0,287.0,Vidar Riseth,1,1998,1998,4,0.0,0.940766550522648,0.0,1.254355400696864,0.627177700348432,0.940766550522648,0.940766550522648,0.313588850174216,0.313588850174216,3.1358885017421603,0.627177700348432,20.38327526132404,11.916376306620208,14.425087108013935,6.898954703832752,33.55400696864111,31.919882100750268,43.636120042872456,75.57073954983922,9.011254019292606,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,66.55948553054661,27.713322927833072,40.03449892818864
184,0.0,4,0.0,1.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,114.0,94.0,175.0,19.0,8.0,0.0,70.0,54.0,270.0,Nico Van Kerckhoven,2,1998,2002,3,0.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666,38.0,31.33333333333333,23.33333333333333,18.0,58.333333333333336,36.006162915326904,40.447481243301176,52.19453376205788,57.0257234726688,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,21.019560557341897,9.83099832799032,46.41847534833869
