id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1,6.0,41,22.0,16.0,32.0,19.0,30.0,42.0,28.0,3.0,3.0,6.0,29.0,6.0,336.0,239.0,625.0,84.0,130.0,2.0,1484.0,Robin van Persie,3,2006,2014,17
2,0.0,3,1.0,2.0,21.0,15.0,25.0,16.0,11.0,0.0,1.0,0.0,26.0,3.0,542.0,458.0,942.0,97.0,55.0,0.0,1275.0,Ashley Cole,3,2002,2010,14
3,2.0,16,6.0,7.0,22.0,15.0,32.0,26.0,10.0,3.0,2.0,2.0,2.0,0.0,554.0,467.0,785.0,123.0,76.0,0.0,942.0,Patrick Vieira,3,1998,2006,12
5,0.0,5,2.0,2.0,12.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,12.0,4.0,61.0,47.0,111.0,8.0,20.0,0.0,133.0,Robert Pires,1,1998,1998,3
7,0.0,5,3.0,2.0,5.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,9.0,4.0,36.0,27.0,68.0,5.0,9.0,0.0,70.0,José Antonio Reyes,1,2006,2006,1
8,6.0,37,18.0,15.0,41.0,24.0,21.0,23.0,24.0,4.0,5.0,5.0,19.0,6.0,341.0,239.0,586.0,65.0,97.0,0.0,989.0,Dennis Bergkamp,2,1994,1998,12
11,6.0,50,20.0,16.0,59.0,31.0,20.0,39.0,20.0,1.0,5.0,5.0,28.0,4.0,302.0,205.0,629.0,87.0,117.0,2.0,1169.0,Thierry Henry,4,1998,2010,17
57,0.0,6,2.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,43.0,32.0,72.0,11.0,9.0,0.0,115.0,Ferydoon Zandi,1,2006,2006,2
60,1.0,8,2.0,6.0,0.0,0.0,6.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,53.0,31.0,80.0,18.0,21.0,0.0,187.0,Carsten Jancker,1,2002,2002,3
67,0.0,6,2.0,4.0,1.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,236.0,196.0,356.0,33.0,32.0,0.0,673.0,Raymond Kalla,3,1994,2002,8
83,0.0,2,1.0,1.0,2.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,33.0,65.0,18.0,24.0,0.0,136.0,Vratislav Lokvenc,1,2006,2006,2
84,0.0,3,0.0,2.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,1.0,80.0,67.0,122.0,12.0,13.0,0.0,164.0,Zvjezdan Misimović,1,2014,2014,2
90,0.0,5,1.0,2.0,4.0,2.0,3.0,8.0,5.0,1.0,0.0,0.0,1.0,1.0,184.0,158.0,244.0,20.0,19.0,0.0,368.0,Sebastian Kehl,2,2002,2006,6
95,0.0,0,0.0,0.0,9.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,171.0,143.0,257.0,35.0,20.0,0.0,400.0,Christian Wörns,1,1998,1998,5
