match_id,year,round,home_team,away_team,home_score,away_score,start_timestamp
10278045,1966,round_1,Brazil,Bulgaria,2,0,-109587600
10278063,1966,round_1,West Germany,Switzerland,5,0,-109587600
10278058,1966,round_1,Italy,Chile,2,0,-109501200
10278046,1966,round_1,Portugal,Hungary,3,1,-109501200
10278064,1966,round_1,Argentina,Spain,2,1,-109501200
10278052,1966,round_1,France,Mexico,1,1,-109501200
10278059,1966,round_2,North Korea,Chile,1,1,-109328400
10278047,1966,round_2,Hungary,Brazil,3,1,-109328400
10278065,1966,round_2,Spain,Switzerland,2,1,-109328400
10278053,1966,round_2,Uruguay,France,2,1,-109328400
10278060,1966,round_2,USSR,Italy,1,0,-109242000
10278048,1966,round_2,Portugal,Bulgaria,3,0,-109242000
10278066,1966,round_2,West Germany,Argentina,0,0,-109242000
10278054,1966,round_2,England,Mexico,2,0,-109242000
10278061,1966,round_3,North Korea,Italy,1,0,-108982800
10278049,1966,round_3,Portugal,Brazil,3,1,-108982800
10278067,1966,round_3,Argentina,Switzerland,2,0,-108982800
10278055,1966,round_3,Uruguay,Mexico,0,0,-108982800
10278062,1966,round_3,USSR,Chile,2,1,-108896400
10278050,1966,round_3,Hungary,Bulgaria,3,1,-108896400
10278068,1966,round_3,West Germany,Spain,2,1,-108896400
10278056,1966,round_3,England,France,2,0,-108896400
10182822,1966,Quarterfinals,USSR,Hungary,2,1,-108637200
10182823,1966,Quarterfinals,West Germany,Uruguay,4,0,-108637200
10182824,1966,Quarterfinals,Portugal,North Korea,5,3,-108637200
10182821,1966,Quarterfinals,England,Argentina,1,0,-108637200
10182825,1966,Semifinals,West Germany,USSR,2,1,-108464400
10182826,1966,Semifinals,England,Portugal,2,1,-108378000
10182827,1966,Match for 3rd place,Portugal,USSR,2,1,-108205200
10182828,1966,Final,England,West Germany,4,2,-108032400
10278051,1966,round_1,England,Uruguay,0,0,-109674000
10278057,1966,round_1,USSR,North Korea,3,0,-109587600
10383064,1970,round_1,England,Romania,1,0,13186800
10383070,1970,round_1,Uruguay,Israel,2,0,13186800
10383084,1970,round_1,West Germany,Morocco,2,1,13273200
10383065,1970,round_1,Brazil,Czechoslovakia,4,1,13273200
10383071,1970,round_1,Italy,Sweden,1,0,13273200
10383078,1970,round_1,Belgium,El Salvador,3,0,13273200
10383085,1970,round_2,Peru,Morocco,3,0,13532400
10383066,1970,round_2,Romania,Czechoslovakia,2,1,13532400
10383072,1970,round_2,Uruguay,Italy,0,0,13532400
10383079,1970,round_2,USSR,Belgium,4,1,13532400
10383086,1970,round_2,West Germany,Bulgaria,5,2,13618800
10383067,1970,round_2,Brazil,England,1,0,13618800
10383073,1970,round_2,Sweden,Israel,1,1,13618800
10383080,1970,round_2,Mexico,El Salvador,4,0,13618800
10383087,1970,round_3,West Germany,Peru,3,1,13878000
10383068,1970,round_3,Brazil,Romania,3,2,13878000
10383074,1970,round_3,Sweden,Uruguay,1,0,13878000
10383081,1970,round_3,USSR,El Salvador,2,0,13878000
10383088,1970,round_3,Bulgaria,Morocco,1,1,13964400
10383069,1970,round_3,England,Czechoslovakia,1,0,13964400
10383075,1970,round_3,Italy,Israel,0,0,13964400
10383082,1970,round_3,Mexico,Belgium,1,0,13964400
7846667,1970,Quarterfinals,Uruguay,USSR,1,0,14223600
7846670,1970,Quarterfinals,West Germany,England,3,2,14223600
7846668,1970,Quarterfinals,Italy,Mexico,4,1,14223600
7846669,1970,Quarterfinals,Brazil,Peru,4,2,14223600
7846671,1970,Semifinals,Italy,West Germany,4,3,14482800
7846672,1970,Semifinals,Brazil,Uruguay,3,1,14482800
7846673,1970,Match for 3rd place,West Germany,Uruguay,1,0,14742000
7846674,1970,Final,Brazil,Italy,4,1,14828400
10383077,1970,round_1,Mexico,USSR,0,0,13014000
10383083,1970,round_1,Peru,Bulgaria,3,2,13186800
10383109,1974,round_2,Australia,West Germany,0,3,140799600
10383104,1974,round_2,Yugoslavia,Zaire,9,0,140812200
10383103,1974,round_2,Scotland,Brazil,0,0,140812200
10383110,1974,round_2,Chile,East Germany,1,1,140812200
10383091,1974,round_2,Haiti,Poland,0,7,140886000
10383092,1974,round_2,Argentina,Italy,1,1,140886000
10383098,1974,round_2,Bulgaria,Uruguay,1,1,140886000
10383097,1974,round_2,Netherlands,Sweden,0,0,140886000
10383105,1974,round_3,Scotland,Yugoslavia,1,1,141145200
10383106,1974,round_3,Zaire,Brazil,0,3,141145200
10383111,1974,round_3,Australia,Chile,0,0,141145200
10383112,1974,round_3,East Germany,West Germany,1,0,141157800
10383093,1974,round_3,Poland,Italy,2,1,141231600
10383094,1974,round_3,Argentina,Haiti,4,1,141231600
10383099,1974,round_3,Sweden,Uruguay,3,0,141231600
10383100,1974,round_3,Bulgaria,Netherlands,1,4,141231600
7846678,1974,round_4,Yugoslavia,West Germany,0,2,141490800
7846677,1974,round_4,Sweden,Poland,0,1,141490800
7846683,1974,round_4,Netherlands,Argentina,4,0,141490800
7846684,1974,round_4,Brazil,East Germany,1,0,141503400
7846679,1974,round_5,Poland,Yugoslavia,2,1,141836400
7846685,1974,round_5,East Germany,Netherlands,0,2,141836400
7846686,1974,round_5,Argentina,Brazil,1,2,141836400
7846680,1974,round_5,West Germany,Sweden,4,2,141849000
7846681,1974,round_6,Sweden,Yugoslavia,2,1,142095600
7846687,1974,round_6,Netherlands,Brazil,2,0,142095600
7846682,1974,round_6,Poland,West Germany,0,1,142097400
7846688,1974,round_6,Argentina,East Germany,1,1,142108200
7846675,1974,Match for 3rd place,Brazil,Poland,0,1,142354800
7846676,1974,Final,Netherlands,West Germany,1,2,142441200
10383101,1974,round_1,Brazil,Yugoslavia,0,0,140371200
10383107,1974,round_1,West Germany,Chile,1,0,140454000
10383102,1974,round_1,Zaire,Scotland,0,2,140466600
10383108,1974,round_1,East Germany,Australia,2,0,140466600
10383090,1974,round_1,Italy,Haiti,3,1,140540400
10383089,1974,round_1,Poland,Argentina,3,2,140540400
10383095,1974,round_1,Sweden,Bulgaria,0,0,140540400
10383096,1974,round_1,Uruguay,Netherlands,0,2,140540400
10383139,1978,round_2,West Germany,Mexico,6,0,265993200
10383138,1978,round_2,Poland,Tunisia,1,0,265993200
10383127,1978,round_2,Italy,Hungary,3,1,265993200
10383126,1978,round_2,Argentina,France,2,1,265993200
10383121,1978,round_2,Scotland,Iran,1,1,266079600
10383120,1978,round_2,Netherlands,Peru,0,0,266079600
10383133,1978,round_2,Austria,Sweden,1,0,266079600
10383132,1978,round_2,Brazil,Spain,0,0,266079600
10383141,1978,round_3,West Germany,Tunisia,0,0,266338800
10383140,1978,round_3,Poland,Mexico,3,1,266338800
10383129,1978,round_3,France,Hungary,3,1,266338800
10383128,1978,round_3,Italy,Argentina,1,0,266338800
10383123,1978,round_3,Peru,Iran,4,1,266425200
10383122,1978,round_3,Scotland,Netherlands,3,2,266425200
10383135,1978,round_3,Spain,Sweden,1,0,266425200
10383134,1978,round_3,Brazil,Austria,1,0,266425200
7846697,1978,round_4,Argentina,Poland,2,0,266684400
7846698,1978,round_4,Brazil,Peru,3,0,266684400
7846692,1978,round_4,Netherlands,Austria,5,1,266684400
7846691,1978,round_4,West Germany,Italy,0,0,266684400
7846700,1978,round_5,Poland,Peru,1,0,267030000
7846699,1978,round_5,Argentina,Brazil,0,0,267030000
7846694,1978,round_5,West Germany,Netherlands,2,2,267030000
7846693,1978,round_5,Italy,Austria,1,0,267030000
7846701,1978,round_6,Argentina,Peru,6,0,267289200
7846702,1978,round_6,Brazil,Poland,3,1,267289200
7846696,1978,round_6,Austria,West Germany,3,2,267289200
