name,firstName,lastName,slug,shortName,position,height,userCount,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,jerseyNumber,gender,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,fouls,aerialLost,aerialWon,interceptionWon,keyPass,wasFouled,totalCross,dispossessed,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,accurateCross,goals,totalOffside,hitWoodwork,bigChanceMissed,teamName,captain
Nery Pumpido,,,nery-pumpido,N. Pumpido,G,182.0,10,ekb47a,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420008,EUR,-392083200,"{'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}",,,4819,18,18,G,False,29.0,16.0,16.0,3.0,0.0,13.0,13.0,3.0,16.0,16.0,1.0,1.0,2.0,2.0,3.0,90.0,38.0,6.8,14.0,"{'original': 6.8, 'alternative': 6.8}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
José Luis Cuciuffo,,,jose-luis-cuciuffo,J. L. Cuciuffo,D,176.0,3,ekb9s5,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420556,EUR,-281318400,"{'nameTranslation': {'ar': 'خوسيه لويس كوتشيفو', 'ru': 'Хосе Луис Кучиуффо'}, 'shortNameTranslation': {'ar': 'خ. كوتشيفو', 'ru': 'Х. Кучиуффо'}}",,,4819,9,9,D,False,24.0,19.0,2.0,2.0,0.0,13.0,15.0,6.0,9.0,2.0,,,,,,90.0,51.0,6.8,9.0,"{'original': 6.8, 'alternative': 6.8}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,Argentina,
José Luis Brown,,,jose-luis-brown,J. L. Brown,D,183.0,2,q4ru62,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420548,EUR,-441072000,"{'nameTranslation': {'ar': 'خوسيه لويس براون', 'ru': 'Хосе Луис Браун'}, 'shortNameTranslation': {'ar': 'خ. براون', 'ru': 'Х. Браун'}}",,,4819,5,5,D,False,29.0,25.0,5.0,3.0,0.0,20.0,21.0,5.0,8.0,2.0,1.0,2.0,,,,90.0,55.0,7.3,6.0,"{'original': 7.3, 'alternative': 7.3}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,7.0,,,,,18.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,Argentina,
Oscar Ruggeri,,,oscar-ruggeri,O. Ruggeri,D,185.0,14,zb8m94,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420549,EUR,-250300800,"{'nameTranslation': {'ar': 'أوسكار روجيري', 'ru': 'Оскар Ругерри'}, 'shortNameTranslation': {'ar': 'أ. روجيري', 'ru': 'О. Ругерри'}}",,,4819,19,19,D,False,19.0,13.0,1.0,,0.0,12.0,16.0,1.0,3.0,3.0,,1.0,,,,90.0,36.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.1}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,7.0,,,,1.0,8.0,2.0,,,2.0,2.0,6.0,1.0,,1.0,,,,,,,,,,,Argentina,
Ricardo Giusti,,,ricardo-giusti,R. Giusti,M,178.0,1,ekb9su,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420552,EUR,-412041600,"{'nameTranslation': {'ar': 'ريكاردو جيوستي', 'ru': 'Рикардо Джусти'}, 'shortNameTranslation': {'ar': 'ر. جيوستي', 'ru': 'Р. Джусти'}}",,,4819,14,14,M,False,28.0,25.0,1.0,,0.0,10.0,10.0,15.0,18.0,5.0,,,,,,90.0,48.0,7.0,7.0,"{'original': 7, 'alternative': 7}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,8.0,1.0,2.0,1.0,,3.0,,5.0,3.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,Argentina,
Héctor Enrique,,,hector-enrique,H. Enrique,M,172.0,4,snyidy,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420560,EUR,-242524800,"{'nameTranslation': {'ar': 'هيكتور إنريكي', 'ru': 'Эктор Энрике'}, 'shortNameTranslation': {'ar': 'ه. إنريكي', 'ru': 'Э. Энрике'}}",,,4819,12,12,M,False,31.0,25.0,3.0,1.0,1.0,12.0,12.0,13.0,19.0,4.0,,2.0,,,,90.0,45.0,6.8,11.0,"{'original': 6.8, 'alternative': 6.8}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,4.0,,5.0,3.0,,,,1.0,1.0,3.0,,,,1.0,,,1.0,2.0,1.0,,,,,,,Argentina,
Jorge Luis Burruchaga,,,jorge-luis-burruchaga,J. L. Burruchaga,M,177.0,17,8jqa3x,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420553,EUR,-228182400,"{'nameTranslation': {'ar': 'خورخي لويس بوروتشاغا', 'ru': 'Хорхе Луис Буручага'}, 'shortNameTranslation': {'ar': 'خ. بوروتشاغا', 'ru': 'Х. Буручага'}}",,,4819,7,7,M,False,36.0,27.0,5.0,3.0,0.0,8.0,8.0,19.0,28.0,2.0,,2.0,,,,76.0,52.0,7.1,17.0,"{'original': 7.1, 'alternative': 7.1}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,4.0,,2.0,2.0,,1.0,,2.0,1.0,,,,,,,4.0,2.0,,,1.0,,,,,,Argentina,
Sergio Batista,,,sergio-batista,S. Batista,M,186.0,7,6gtbkj,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420551,EUR,-225504000,"{'nameTranslation': {'ar': 'سيرجيو باتيستا', 'ru': 'Серджио Батиста'}, 'shortNameTranslation': {'ar': 'س. باتيستا', 'ru': 'С. Батиста'}}",,,4819,2,2,M,False,45.0,37.0,2.0,1.0,0.0,20.0,23.0,17.0,22.0,8.0,,,,,,90.0,51.0,6.4,8.0,"{'original': 6.4, 'alternative': 6.4}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,3.0,2.0,,,,2.0,,,,3.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,Argentina,
Julio Olarticoechea,,,julio-olarticoechea,J. Olarticoechea,D,169.0,4,8jq94y,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420009,EUR,-353635200,"{'nameTranslation': {'ar': 'خوليو أولارتيكويتشيا', 'ru': 'Хулио Олартикоэчеа'}, 'shortNameTranslation': {'ar': 'خ. أولارتيكويتشيا', 'ru': 'Х. Олартикоэчеа'}}",,,4819,16,16,M,False,23.0,21.0,1.0,,0.0,11.0,11.0,10.0,12.0,3.0,,2.0,,,,90.0,42.0,6.7,6.0,"{'original': 6.7, 'alternative': 6.7}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,4.0,,2.0,,,2.0,,2.0,1.0,,,1.0,2.0,,1.0,1.0,,,,,1.0,,,,,Argentina,
Diego Armando Maradona,,,diego-armando-maradona,D. Maradona,M,165.0,1981,znsesd,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",797157,EUR,-289440000,"{'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}",,,4819,10,10,F,False,31.0,24.0,2.0,1.0,0.0,3.0,3.0,21.0,28.0,3.0,,2.0,,,,90.0,73.0,9.8,22.0,"{'original': 9.8, 'alternative': 9.8}",7,"{'sportSlug': 'football', 'statisticsType': 'player'}",13.0,19.0,2.0,15.0,10.0,2.0,,,,,,3.0,2.0,,5.0,7.0,5.0,3.0,2.0,,3.0,1.0,2.0,,,,Argentina,True
Jorge Valdano,,,jorge-valdano,J. Valdano,F,188.0,18,jv4y29,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420003,EUR,-449539200,"{'nameTranslation': {'ar': 'خورخي فالدانوا', 'ru': 'Хорхе Вальдано'}, 'shortNameTranslation': {'ar': 'خ. فالدانوا', 'ru': 'Х. Вальдано'}}",,,4819,11,11,F,False,19.0,10.0,1.0,,0.0,3.0,4.0,7.0,15.0,1.0,,3.0,,,,90.0,41.0,6.6,20.0,"{'original': 6.6, 'alternative': 6.6}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12.0,10.0,1.0,3.0,2.0,,3.0,1.0,,,1.0,3.0,6.0,,,3.0,1.0,6.0,,,,,,1.0,,,Argentina,
Carlos Tapia,,,carlos-tapia,C. Tapia,M,173.0,2,n5cwqi,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420562,EUR,-232502400,"{'nameTranslation': {'ar': 'كارلوس تابيا', 'ru': 'Карлос Тапия'}, 'shortNameTranslation': {'ar': 'ك. تابيا', 'ru': 'К. Тапия'}}",,,4819,20,20,M,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,,,,,,14.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': 6.7}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,Argentina,
Luis Islas,,,luis-islas,L. Islas,G,189.0,3,wrp2uf,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420557,EUR,-127094400,"{'nameTranslation': {'ar': 'لويس إيسلاس', 'ru': 'Луис Ислас'}, 'shortNameTranslation': {'ar': 'ل. إيسلاس', 'ru': 'Л. Ислас'}}",,,4819,15,15,G,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
