player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,incidentType,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,goalType,blockCoordinates
"{'name': 'Diego Armando Maradona', 'slug': 'diego-armando-maradona', 'shortName': 'D. Maradona', 'position': 'M', 'userCount': 1981, 'sofascoreId': 'znsesd', 'id': 797157, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}}",True,miss,free-kick,"{'x': 22.6, 'y': 63.9, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.3, 'z': 8.3}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294572,86,5157,"{'start': {'x': 63.9, 'y': 22.6}, 'end': {'x': 41.7, 'y': 0}, 'goal': {'x': 41.7, 'y': 91.7}}",shot,5,243,2457,,
"{'name': 'Carlos Tapia', 'firstName': '', 'lastName': '', 'slug': 'carlos-tapia', 'shortName': 'C. Tapia', 'position': 'M', 'userCount': 2, 'sofascoreId': 'n5cwqi', 'id': 1420562, 'fieldTranslations': {'nameTranslation': {'ar': 'كارلوس تابيا', 'ru': 'Карлос Тапия'}, 'shortNameTranslation': {'ar': 'ك. تابيا', 'ru': 'К. Тапия'}}}",True,post,regular,"{'x': 16.9, 'y': 46.4, 'z': 0}",right-foot,left,"{'x': 0, 'y': 55.4, 'z': 12.5}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294571,82,4884,"{'start': {'x': 46.4, 'y': 16.9}, 'end': {'x': 44.6, 'y': 0}, 'goal': {'x': 44.6, 'y': 87.5}}",shot,9,516,2184,,
"{'name': 'Gary Lineker', 'slug': 'gary-lineker', 'shortName': 'G. Lineker', 'position': 'F', 'userCount': 61, 'sofascoreId': 'jv46dt', 'id': 1420675, 'fieldTranslations': {'nameTranslation': {'ar': 'غاري لينكر', 'ru': 'Гэри Линекер'}, 'shortNameTranslation': {'ar': 'غ. لينكر', 'ru': 'Г. Линекер'}}}",False,goal,assisted,"{'x': 4.2, 'y': 49.3, 'z': 0}",head,low-right,"{'x': 0, 'y': 46, 'z': 11.1}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294570,81,4834,"{'start': {'x': 49.3, 'y': 4.2}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 88.9}}",shot,10,566,2134,regular,
"{'name': 'Terry Butcher', 'firstName': '', 'lastName': '', 'slug': 'terry-butcher', 'shortName': 'T. Butcher', 'position': 'D', 'userCount': 6, 'sofascoreId': 'jv4yeg', 'id': 1420227, 'fieldTranslations': {'nameTranslation': {'ar': 'تيري بوتشر', 'ru': 'Терри Батчер'}, 'shortNameTranslation': {'ar': 'ت. بوتشر', 'ru': 'Т. Батчер'}}}",False,save,set-piece,"{'x': 8.3, 'y': 45.5, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.6, 'z': 18.4}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294569,77,4596,"{'start': {'x': 45.5, 'y': 8.3}, 'block': {'x': 47.7, 'y': 1.8}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81.6}}",shot,14,804,1896,,"{'x': 1.8, 'y': 47.7, 'z': 0}"
"{'name': 'Glenn Hoddle', 'slug': 'glenn-hoddle', 'shortName': 'G. Hoddle', 'position': 'M', 'userCount': 6, 'sofascoreId': 'n5c8s7', 'id': 1420242, 'fieldTranslations': {'nameTranslation': {'ar': 'جلين هودل', 'ru': 'Гленн Ходдл'}, 'shortNameTranslation': {'ar': 'ج. هودل', 'ru': 'Г. Ходдл'}}}",False,block,throw-in-set-piece,"{'x': 26, 'y': 30.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294568,74,4405,"{'start': {'x': 30.2, 'y': 26}, 'block': {'x': 40.2, 'y': 13.1}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",shot,17,995,1705,,"{'x': 13.1, 'y': 40.2, 'z': 0}"
"{'name': 'Terry Fenwick', 'firstName': '', 'lastName': '', 'slug': 'terry-fenwick', 'shortName': 'T. Fenwick', 'position': 'D', 'userCount': 1, 'sofascoreId': '8jqatv', 'id': 1420672, 'fieldTranslations': {'nameTranslation': {'ar': 'تيري فينووك', 'ru': 'Терри Фенвик'}, 'shortNameTranslation': {'ar': 'ت. فينووك', 'ru': 'Т. Фенвик'}}}",False,miss,corner,"{'x': 8.9, 'y': 43.6, 'z': 0}",head,high,"{'x': 0, 'y': 46.9, 'z': 97.2}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294567,73,4325,"{'start': {'x': 43.6, 'y': 8.9}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 2.8}}",shot,18,1075,1625,,
"{'name': 'Glenn Hoddle', 'slug': 'glenn-hoddle', 'shortName': 'G. Hoddle', 'position': 'M', 'userCount': 6, 'sofascoreId': 'n5c8s7', 'id': 1420242, 'fieldTranslations': {'nameTranslation': {'ar': 'جلين هودل', 'ru': 'Гленн Ходдл'}, 'shortNameTranslation': {'ar': 'ج. هودل', 'ru': 'Г. Ходдл'}}}",False,save,free-kick,"{'x': 24.5, 'y': 65.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.4, 'z': 19}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294566,69,4094,"{'start': {'x': 65.7, 'y': 24.5}, 'block': {'x': 52.2, 'y': 1.6}, 'end': {'x': 53.6, 'y': 0}, 'goal': {'x': 53.6, 'y': 81}}",shot,22,1306,1394,,"{'x': 1.6, 'y': 52.2, 'z': 0}"
"{'name': 'Gary Stevens', 'firstName': '', 'lastName': '', 'slug': 'gary-stevens', 'shortName': 'G. Stevens', 'position': 'D', 'userCount': 1, 'sofascoreId': 'hi5qs8', 'id': 1420671, 'fieldTranslations': {'nameTranslation': {'ar': 'غاري ستيفنز', 'ru': 'Гэри Стивенс'}, 'shortNameTranslation': {'ar': 'غ. ستيفنز', 'ru': 'Г. Стивенс'}}}",False,block,assisted,"{'x': 26.8, 'y': 74.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 19}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294565,68,4055,"{'start': {'x': 74.8, 'y': 26.8}, 'block': {'x': 66.4, 'y': 17.5}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 81}}",shot,23,1345,1355,,"{'x': 17.5, 'y': 66.4, 'z': 0}"
"{'name': 'Jorge Luis Burruchaga', 'firstName': '', 'lastName': '', 'slug': 'jorge-luis-burruchaga', 'shortName': 'J. L. Burruchaga', 'position': 'M', 'userCount': 17, 'sofascoreId': '8jqa3x', 'id': 1420553, 'fieldTranslations': {'nameTranslation': {'ar': 'خورخي لويس بوروتشاغا', 'ru': 'Хорхе Луис Буручага'}, 'shortNameTranslation': {'ar': 'خ. بوروتشاغا', 'ru': 'Х. Буручага'}}}",True,save,free-kick,"{'x': 23.9, 'y': 15.3, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.7, 'z': 21.5}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294564,67,3975,"{'start': {'x': 15.3, 'y': 23.9}, 'block': {'x': 48, 'y': 1.8}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 78.5}}",shot,24,1425,1275,,"{'x': 1.8, 'y': 48, 'z': 0}"
"{'name': 'Peter Beardsley', 'firstName': '', 'lastName': '', 'slug': 'peter-beardsley', 'shortName': 'P. Beardsley', 'position': 'F', 'userCount': 2, 'sofascoreId': 'zb8m6y', 'id': 1420677, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيردسلي', 'ru': 'Питер Бирдсли'}, 'shortNameTranslation': {'ar': 'ب. بيردسلي', 'ru': 'П. Бирдсли'}}}",False,save,corner,"{'x': 11.2, 'y': 53.6, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.9, 'z': 7.6}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294563,61,3642,"{'start': {'x': 53.6, 'y': 11.2}, 'block': {'x': 51.1, 'y': 2}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 92.4}}",shot,30,1758,942,,"{'x': 2, 'y': 51.1, 'z': 0}"
