name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,penaltyShootoutSave,expectedGoals,expectedGoalsOnTarget,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,goalsPrevented,statisticsType,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialWon,wasFouled,fouls,outfielderBlock,penaltyConceded,keyPass,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,wonContest,blockedScoringAttempt,lastManTackle,bigChanceCreated,accurateCross,goals,totalOffside,penaltyShootoutGoal,penaltyWon,bigChanceMissed,penaltyShootoutMiss,teamName,captain
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,80332,M,EmiMartinez,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",158263,EUR,715392000,"{'value': 11500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميليانو مارتينيز', 'bn': 'এমিলিয়ানো মার্টিনেজ', 'hi': 'एमिलियानो मार्टिनेज', 'ru': 'Эмилиано Мартинес'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'bn': 'ই. মার্টিনেজ', 'hi': 'ई. मार्टिनेज', 'ru': 'Э. Мартинес'}}",,,4819,23,23,G,False,25.0,9.0,17.0,1.0,0.0,9.0,12.0,13.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,120.0,37.0,6.9,16.0,1.0,0.0,0.0,3.912e-05,42.956542337496,7.0,2.1947180360668,0.0,"{'original': 6.9, 'alternative': 6.9}",0,-0.1674,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Nahuel Molina,nahuel-molina,N. Molina,D,20,175,20603,M,nahuelmolina_35,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",831799,EUR,891820800,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناويل مولينا', 'bn': 'নাহুয়েল মোলিনা', 'hi': 'नहुएल मोलिना', 'ru': 'Науэль Молина'}, 'shortNameTranslation': {'ar': 'ن. مولينا', 'bn': 'এন. মোলিনা', 'hi': 'एन. मोलिना', 'ru': 'Н. Молина'}}",Nahuel,Molina,4819,26,26,D,False,41.0,27.0,6.0,1.0,0.0,17.0,22.0,19.0,1.0,8.0,,,,,,,,90.0,61.0,6.2,19.0,,0.0,0.0,0.00888205,80.809677598747,13.0,51.531405782068,1.0,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,19.435346336248,19.496921013329,,,,,,,,,,,,,,,,,,,,,,Argentina,
Cristian Romero,cristian-romero,C. Romero,D,17,185,49252,M,cutiromero2,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",829932,EUR,893635200,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'bn': 'ক্রিশ্চিয়ান রোমেরো', 'hi': 'क्रिस्टियन रोमेरो', 'ru': 'Кристиан Ромеро'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'bn': 'সি. রোমেরো', 'hi': 'सी. रोमेरो', 'ru': 'К. Ромеро'}}",Cristian,Romero,4819,13,13,D,False,70.0,60.0,10.0,8.0,0.0,50.0,54.0,16.0,9.0,12.0,,,,,,,,120.0,90.0,6.6,10.0,,0.0,0.0,0.0039635,196.93158268905,30.0,97.126485318293,0.0,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10.0,,2.0,7.0,3.0,2.0,2.0,,,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,Argentina,
Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,23741,M,Notamendi30,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",74915,EUR,571622400,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس أوتامندي', 'bn': 'নিকোলাস ওটামেন্ডি', 'hi': 'निकोलस ओटामेंडी', 'ru': 'Николас Отаменди'}, 'shortNameTranslation': {'ar': 'ن. أوتامندي', 'bn': 'এন. ওটামেন্ডি', 'hi': 'एन. ओटामेंडी', 'ru': 'Н. Отаменди'}}",,,4819,19,19,D,False,74.0,68.0,3.0,1.0,0.0,58.0,60.0,14.0,3.0,7.0,,,,,,,,120.0,82.0,6.0,8.0,,0.0,0.0,0.00386373,242.23440611153,36.0,54.291204404157,1.0,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10.0,,3.0,5.0,1.0,,2.0,,,2.0,14.859368298093,14.868516032207,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,Argentina,
Nicolás Tagliafico,nicolas-tagliafico,N. Tagliafico,D,3,172,17274,M,tagliafico3,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",158243,EUR,715219200,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس تاجليافيكو', 'bn': 'নিকোলাস ট্যাগলিয়াফিকো', 'hi': 'निकोलस टैग्लियाफ़िको', 'ru': 'Николас Тальяфико'}, 'shortNameTranslation': {'ar': 'ن. تاجليافيكو', 'bn': 'এন. ট্যাগলিয়াফিকো', 'hi': 'एन. टैग्लियाफ़िको', 'ru': 'Н. Тальяфико'}}",,,4819,3,3,D,False,44.0,36.0,3.0,1.0,0.0,20.0,23.0,21.0,1.0,4.0,,,,,,,,119.0,70.0,7.1,13.0,,0.0,0.0,0.0120274,57.91091847854,9.0,14.318744902129,1.0,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16.0,,,3.0,7.0,,4.0,4.0,4.0,,16.799937316613,18.668905940092,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,Argentina,
Rodrigo De Paul,rodrigo-de-paul,R. De Paul,M,7,180,63221,M,RodridePaul,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",249399,EUR,769737600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو دي بول', 'bn': 'রদ্রিগো ডি পল', 'hi': 'रोड्रिगो डी पॉल', 'ru': 'Родриго Де Пауль'}, 'shortNameTranslation': {'ar': 'ر. دي بول', 'bn': 'আর. ডি. পল', 'hi': 'आर. डी पॉल', 'ru': 'Р. Де Пауль'}}",Rodrigo,De Paul,4819,7,7,M,False,67.0,60.0,5.0,3.0,0.0,37.0,38.0,29.0,1.0,5.0,,,,,,,,102.0,90.0,6.7,18.0,,0.123,0.1133,0.1041,249.19604315043,34.0,113.20445613958,3.0,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",23.0,2.0,1.0,9.0,7.0,1.0,,1.0,1.0,3.0,24.110384129395,56.008015228454,,6.0,2.0,,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,Argentina,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,157761,M,Enzo8,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",974505,EUR,979689600,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'bn': 'এনজো ফার্নান্ডেজ', 'hi': 'एन्ज़ो फर्नांडीज़', 'ru': 'Энцо Фернандес'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'bn': 'ই. ফার্নান্ডেজ', 'hi': 'ई. फर्नांडीज़', 'ru': 'Э. Фернандес'}}",,,4819,24,24,M,False,91.0,77.0,11.0,5.0,0.0,48.0,53.0,38.0,1.0,11.0,,,,,,,,120.0,118.0,7.2,20.0,,0.1035,0.1573,0.0618121,265.81633444607,34.0,91.429773023558,1.0,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",29.0,,,10.0,11.0,6.0,,10.0,7.0,4.0,22.91715850756,27.111038416114,,,3.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,Argentina,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,85837,M,Macca10,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",895324,EUR,914457600,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার', 'hi': 'एलेक्सिस मैक एलिस्टर', 'ru': 'Алексис Мак Аллистер'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'bn': 'এ. ম্যাক অ্যালিস্টার', 'hi': 'ए. मैक एलिस्टर', 'ru': 'А. Аллистер'}}",,,4819,20,20,M,False,52.0,44.0,,,1.0,18.0,21.0,31.0,1.0,8.0,,,,,,,,116.0,76.0,7.7,14.0,,0.0771,0.0281,0.251668,162.65471783601,19.0,76.45384188645,1.0,"{'original': 7.7, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",26.0,,5.0,8.0,8.0,,,1.0,,2.0,19.36533215979,20.088289150647,2.0,3.0,,1.0,,1.0,3.0,2.0,2.0,1.0,2.0,,,1.0,,,,,,,,Argentina,
Lionel Messi,lionel-messi,L. Messi,F,10,169,3059187,M,LM10,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",12994,EUR,551491200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليونيل ميسي', 'bn': 'লিওনেল মেসি', 'hi': 'लियोनेल मेसी', 'ru': 'Лионель Месси'}, 'shortNameTranslation': {'ar': 'ل. ميسي', 'bn': 'এল. মেসি', 'hi': 'एल. मेसी', 'ru': 'Л. Месси'}}",,,4819,10,10,F,False,53.0,46.0,4.0,4.0,0.0,7.0,7.0,46.0,,6.0,,,,,,,,120.0,85.0,9.4,26.0,,1.8754,2.2403,0.260169,314.21837249242,36.0,145.18915537797,4.0,"{'original': 9.4, 'alternative': 9.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",39.0,6.0,,10.0,5.0,,,2.0,1.0,5.0,18.195848111474,63.950717696743,2.0,2.0,2.0,,,3.0,6.0,2.0,1.0,4.0,,,,1.0,1.0,2.0,1.0,1.0,,,,Argentina,True
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,305308,M,LaArana,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",944656,EUR,949276800,"{'value': 116000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'bn': 'জুলিয়ান আলভারেজ', 'hi': 'जूलियन अल्वारेज़', 'ru': 'Хулиан Альварес'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'bn': 'জে. আলভারেজ', 'hi': 'जे. अल्वारेज़', 'ru': 'Х. Альварес'}}",,,4819,9,9,F,False,33.0,27.0,1.0,1.0,0.0,10.0,11.0,22.0,,5.0,,,,,,,,103.0,41.0,6.9,9.0,,0.0656,0.2902,0.0596757,106.28694231674,12.0,34.491741740322,3.0,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17.0,,4.0,11.0,,1.0,,,,2.0,16.086947152674,48.438180242795,,,6.0,,,2.0,1.0,,,1.0,,,,,,,1.0,,,,,Argentina,
